Date,PlayerNo.,Name,CashBuilder,Chaser,LowerOffer,HigherOffer,ChosenOffer,HTHResult,FC CorrectAnswers,FC Winner,Amount WonBy Player,bgc,Series
05/10/2012,P3,Holly,"£3,000",Mark Labbett,"-£1,000","£25,000","£25,000 /\",Caught -1,,Team by 1,£0,,5
05/10/2012,P4,Andy,"£8,000",Mark Labbett,"£1,000","£35,000","£8,000 =",Caught -1,,Team by 1,£0,,5
08/10/2012,P1,Laura,"£4,000",Paul Sinha,"£1,000","£20,000","£4,000 =",Caught -3,,Chaser by 0:14,£0,,5
08/10/2012,P2,Jas,"£6,000",Paul Sinha,"£2,000","£30,000","£6,000 =",Home +3,3 (team 3),Chaser by 0:14,£0,C,5
08/10/2012,P3,Jane,"£5,000",Paul Sinha,"£1,000","£30,000","£5,000 =",Home +1,7 (team 3),Chaser by 0:14,£0,C,5
08/10/2012,P4,Ian,"£6,000",Paul Sinha,"-£2,000","£49,000","-£2,000 \/",Home +3,4 (team 3),Chaser by 0:14,£0,C,5
09/10/2012,P1,Nicki,"£6,000",Shaun Wallace,"£1,000","£25,000","£6,000 =",Home +2,9 (team 2),Team by 1,"£5,500",T,5
09/10/2012,P2,Linda,"£5,000",Shaun Wallace,"£1,000","£25,000","£5,000 =",Home +2,9 (team 2),Team by 1,"£5,500",T,5
09/10/2012,P3,Jon,"£5,000",Shaun Wallace,"£1,000","£34,000","£5,000 =",Caught -4,,Team by 1,£0,,5
09/10/2012,P4,Andy,"£2,000",Shaun Wallace,"-£2,000","£34,000","£34,000 /\",Caught -2,,Team by 1,£0,,5
10/10/2012,P1,Sally,"£3,000",Anne Hegerty,£300,"£18,000","£3,000 =",Caught -5,,Chaser by 0:27,£0,,5
10/10/2012,P2,Brian,"£7,000",Anne Hegerty,"£2,000","£30,000","£30,000 /\",Home +1,17 (solo),Chaser by 0:27,£0,C,5
10/10/2012,P3,Joanna,"£1,000",Anne Hegerty,"-£5,000","£20,000","-£5,000 \/",Caught -3,,Chaser by 0:27,£0,,5
10/10/2012,P4,Jill,"£4,000",Anne Hegerty,"-£10,000","£20,000","£4,000 =",Caught -4,,Chaser by 0:27,£0,,5
11/10/2012,P1,Nick,"£8,000",Paul Sinha,"£2,000","£25,000","£8,000 =",Home +1,5 (team 4),Team by 2,"£4,000",T,5
11/10/2012,P2,Caroline,"£6,000",Paul Sinha,"£1,000","£25,000","£6,000 =",Home +2,4 (team 4),Team by 2,"£4,000",T,5
11/10/2012,P3,Linda,"£4,000",Paul Sinha,"-£2,000","£26,000","£4,000 =",Home +5,1 (team 4),Team by 2,"£4,000",T,5
11/10/2012,P4,John,"£3,000",Paul Sinha,"-£2,000","£32,000","-£2,000 \/",Home +2,5 (team 4),Team by 2,"£4,000",T,5
12/10/2012,P1,Clare,"£4,000",Mark Labbett,"£1,000","£20,000","£4,000 =",Home +2,11 (solo),Chaser by 0:52,£0,C,5
12/10/2012,P2,Roger,"£4,000",Mark Labbett,"£1,000","£20,000","£4,000 =",Caught -3,,Chaser by 0:52,£0,,5
12/10/2012,P3,Sue,"£5,000",Mark Labbett,"£1,000","£35,000","£5,000 =",Caught -3,,Chaser by 0:52,£0,,5
12/10/2012,P4,Darren,"£2,000",Mark Labbett,"£1,000","£36,000","£2,000 =",Caught -1,,Chaser by 0:52,£0,,5
15/10/2012,P1,David,"£4,000",Shaun Wallace,"£1,000","£20,000","£4,000 =",Caught -3,,Chaser by 1:09,£0,C,5
15/10/2012,P2,Maggie,"£6,000",Shaun Wallace,"£2,000","£30,000","£6,000 =",Caught -1,,Chaser by 1:09,£0,C,5
15/10/2012,P3,Katie,"£3,000",Shaun Wallace,£50,"£30,000","£30,000 /\",Caught -4,,Chaser by 1:09,£0,C,5
15/10/2012,P4,Laure,"£6,000",Shaun Wallace,"£2,000","£40,000","£6,000 =",Caught -2,12 (solo ✝),Chaser by 1:09,£0,C,5
16/10/2012,P1,Glyn,"£9,000",Anne Hegerty,"£2,000","£30,000","£9,000 =",Home +1,6 (team 4),Team by 1,"£5,000",T,5
16/10/2012,P2,Jamie,"£9,000",Anne Hegerty,"£2,000","£30,000","£9,000 =",Home +2,11 (team 4),Team by 1,"£5,000",T,5
16/10/2012,P3,Frankie,"£6,000",Anne Hegerty,"£1,000","£20,000","£6,000 =",Home +3,1 (team 4),Team by 1,"£5,000",T,5
16/10/2012,P4,Carl,"£5,000",Anne Hegerty,"-£4,000","£26,000","-£4,000 \/",Home +3,1 (team 4),Team by 1,"£5,000",T,5
18/10/2012,P1,Andy,"£5,000",Shaun Wallace,"£1,000","£25,000","£5,000 =",Home +5,11 (team 4),Team by 7,"£7,750",T,5
18/10/2012,P2,Justin,"£2,000",Shaun Wallace,£1,"£25,000","£25,000 /\",Home +1,5 (team 4),Team by 7,"£7,750",T,5
18/10/2012,P3,Lindsey,"£2,000",Shaun Wallace,"-£4,000","£40,000","-£4,000 \/",Home +3,3 (team 4),Team by 7,"£7,750",T,5
18/10/2012,P4,Laurie,"£5,000",Shaun Wallace,"-£6,000","£54,000","£5,000 =",Home +1,1 (team 4),Team by 7,"£7,750",T,5
19/10/2012,P1,Siobhan,"£6,000",Paul Sinha,"£2,000","£30,000","£6,000 =",Home +1,11 (team 2),Chaser by 0:07,£0,C,5
19/10/2012,P2,Dave,"£6,000",Paul Sinha,"£1,000","£40,000","£40,000 /\",Caught -2,,Chaser by 0:07,£0,,5
19/10/2012,P3,Will,"£3,000",Paul Sinha,£300,"£30,000",£300 \/,Home +1,4 (team 2),Chaser by 0:07,£0,C,5
19/10/2012,P4,Susie,"£4,000",Paul Sinha,-£300,"£53,700","£53,700 /\",Caught -6,,Chaser by 0:07,£0,,5
22/10/2012,P1,David,"£5,000",Mark Labbett,"£1,000","£20,000","£5,000 =",Caught -1,,Team by 4,£0,,5
22/10/2012,P2,Dan,"£5,000",Mark Labbett,"£1,000","£30,000","£1,000 \/",Home +3,8 (team 2),Team by 4,"£2,000",T,5
22/10/2012,P3,Janet,"£3,000",Mark Labbett,£300,"£40,000","£3,000 =",Home +2,7 (team 2),Team by 4,"£2,000",T,5
22/10/2012,P4,Matt,"£2,000",Mark Labbett,"-£1,000","£41,000","£2,000 =",Caught -4,,Team by 4,£0,,5
23/10/2012,P1,Bob,"£5,000",Anne Hegerty,"£1,000","£25,000","£25,000 /\",Caught -3,,Chaser by 0:21,£0,,5
23/10/2012,P2,Linda,"£5,000",Anne Hegerty,"£1,000","£30,000","£5,000 =",Home +3,5 (team 3),Chaser by 0:21,£0,C,5
23/10/2012,P3,Louise,"£5,000",Anne Hegerty,"£2,000","£30,000","£5,000 =",Home +1,6 (team 3),Chaser by 0:21,£0,C,5
23/10/2012,P4,Steven,"£3,000",Anne Hegerty,"-£1,000","£35,000","£3,000 =",Home +2,2 (team 3),Chaser by 0:21,£0,C,5
24/10/2012,P1,Sean,"£3,000",Paul Sinha,"£1,000","£20,000","£20,000 /\",Caught -4,,Chaser by 0:15,£0,,5
24/10/2012,P2,Janet,"£4,000",Paul Sinha,"£1,000","£25,000","£4,000 =",Home +1,7 (team 2),Chaser by 0:15,£0,C,5
24/10/2012,P3,Nick,"£5,000",Paul Sinha,"£2,000","£35,000","£35,000 /\",Caught -2,,Chaser by 0:15,£0,,5
24/10/2012,P4,Tracey,"£3,000",Paul Sinha,"£1,000","£36,000","£1,000 \/",Home +1,7 (team 2),Chaser by 0:15,£0,C,5
25/10/2012,P1,Debbie,"£7,000",Shaun Wallace,"£2,000","£25,000","£7,000 =",Home +2,10 (team 2),Team by 6,"£5,500",T,5
25/10/2012,P2,Nigel,"£5,000",Shaun Wallace,£999,"£25,000","£5,000 =",Caught -2,,Team by 6,£0,,5
25/10/2012,P3,Barrie,"£4,000",Shaun Wallace,"£1,000","£35,000","£4,000 =",Home +6,2 (team 2),Team by 6,"£5,500",T,5
25/10/2012,P4,Elicia,"£5,000",Shaun Wallace,"-£2,000","£49,000","£49,000 /\",Caught -4,,Team by 6,£0,,5
26/10/2012,P1,Mike,"£3,000",Mark Labbett,£3,"£15,000","£3,000 =",Caught -1,,Chaser by 0:36,£0,,5
26/10/2012,P2,Paul,"£10,000",Mark Labbett,"£2,000","£28,000","£10,000 =",Home +2,12 (team 3),Chaser by 0:36,£0,C,5
26/10/2012,P3,Martin,"£4,000",Mark Labbett,"£1,000","£20,000","£4,000 =",Home +3,2 (team 3),Chaser by 0:36,£0,C,5
26/10/2012,P4,Ruth,"£3,000",Mark Labbett,"-£2,000","£30,000","£3,000 =",Home +1,2 (team 3),Chaser by 0:36,£0,C,5
30/03/2013,P1,Amanda,"£2,000",Mark Labbett,£200,"£15,000",£200 \/,Caught -2,,Chaser by 0:49,£0,,5
30/03/2013,P2,Chris,"£5,000",Mark Labbett,"£1,000","£25,000","£25,000 /\",Home +1,7 (team 2),Chaser by 0:49,£0,C,5
30/03/2013,P3,Wayne,"£5,000",Mark Labbett,"-£5,000","£35,000","£5,000 =",Home +3,6 (team 2),Chaser by 0:49,£0,C,5
30/03/2013,P4,Leah,"£2,000",Mark Labbett,"-£6,000","£45,000","£2,000 =",Caught -1,,Chaser by 0:49,£0,,5
29/10/2012,P1,John,"£7,000",Mark Labbett,"£2,000","£25,000","£7,000 =",Home +1,9 (team 2),Team by 4,"£7,000",T,6
29/10/2012,P2,Mike,"£7,000",Mark Labbett,"£2,000","£35,000","£7,000 =",Home +2,11 (team 2),Team by 4,"£7,000",T,6
29/10/2012,P3,Veronica,"£4,000",Mark Labbett,"£1,000","£35,000","£4,000 =",Caught -5,,Team by 4,£0,,6
29/10/2012,P4,Kiera-Marie,"£2,000",Mark Labbett,"-£2,000","£46,000","-£2,000 \/",Caught -2,,Team by 4,£0,,6
30/10/2012,P1,Steve,"£4,000",Paul Sinha,"£1,000","£20,000","£4,000 =",Caught -3,,Chaser by 0:02,£0,,6
30/10/2012,P2,Una,"£6,000",Paul Sinha,"£1,000","£30,000","£30,000 /\",Home +2,6 (team 3),Chaser by 0:02,£0,C,6
30/10/2012,P3,Mike,"£5,000",Paul Sinha,"-£5,000","£40,000","£5,000 =",Home +3,7 (team 3),Chaser by 0:02,£0,C,6
30/10/2012,P4,Mel,"£2,000",Paul Sinha,"-£2,000","£55,000","£2,000 =",Home +4,1 (team 3),Chaser by 0:02,£0,C,6
31/10/2012,P1,Bill,"£5,000",Anne Hegerty,"£1,000","£20,000","£5,000 =",Home +3,1 (team 3),Chaser by 0:24,£0,C,6
31/10/2012,P2,Robert,"£7,000",Anne Hegerty,"£2,000","£30,000","£7,000 =",Home +4,5 (team 3),Chaser by 0:24,£0,C,6
31/10/2012,P3,Peggy,"£7,000",Anne Hegerty,"£2,000","£30,000","£7,000 =",Home +2,9 (team 3),Chaser by 0:24,£0,C,6
31/10/2012,P4,Dan,"£5,000",Anne Hegerty,"-£3,000","£21,000","£5,000 =",Caught -4,,Chaser by 0:24,£0,,6
01/11/2012,P1,Dan,"£5,000",Shaun Wallace,"£1,000","£20,000","£5,000 =",Home +4,9 (team 2),Team by 6,"£20,000",T,6
01/11/2012,P2,Clare,"£9,000",Shaun Wallace,"£3,000","£35,000","£9,000 =",Caught -1,,Team by 6,£0,,6
01/11/2012,P3,Ash,"£5,000",Shaun Wallace,"£1,000","£35,000","£35,000 /\",Home +1,6 (team 2),Team by 6,"£20,000",T,6
01/11/2012,P4,Shellie,"£4,000",Shaun Wallace,"-£4,000","£40,000","£40,000 /\",Caught -4,,Team by 6,£0,,6
02/11/2012,P1,Gary,"£5,000",Mark Labbett,"£1,000","£20,000","£5,000 =",Home +1,14 (solo),Chaser by 0:57,£0,C,6
02/11/2012,P2,Jan,"£4,000",Mark Labbett,"£1,000","£35,000","£4,000 =",Caught -3,,Chaser by 0:57,£0,,6
02/11/2012,P3,Julie,"£5,000",Mark Labbett,"£1,000","£35,000","£35,000 /\",Caught -4,,Chaser by 0:57,£0,,6
02/11/2012,P4,Matt,"£2,000",Mark Labbett,"-£1,000","£35,000","£2,000 =",Caught -3,,Chaser by 0:57,£0,,6
05/11/2012,P1,Martin,"£7,000",Anne Hegerty,"£1,000","£28,000","£7,000 =",Home +1,5 (team 3),Chaser by 0:28,£0,C,6
05/11/2012,P2,Jamie,"£4,000",Anne Hegerty,£500,"£30,000",£500 \/,Home +2,4 (team 3),Chaser by 0:28,£0,C,6
05/11/2012,P3,Teresa,"£3,000",Anne Hegerty,"-£1,000","£30,000","£3,000 =",Caught -2,,Chaser by 0:28,£0,,6
05/11/2012,P4,Fiona,"£6,000",Anne Hegerty,"-£2,000","£37,500","£37,500 /\",Home +5,5 (team 3),Chaser by 0:28,£0,C,6
06/11/2012,P1,Sean,"£9,000",Shaun Wallace,"£2,000","£25,000","£9,000 =",Caught -2,,Chaser by 0:12,£0,,6
06/11/2012,P2,Rose,"£2,000",Shaun Wallace,£200,"£20,000","£2,000 =",Caught -2,,Chaser by 0:12,£0,,6
06/11/2012,P3,Laura,"£7,000",Shaun Wallace,"£1,000","£30,000","£7,000 =",Home +5,12 (team 2),Chaser by 0:12,£0,C,6
06/11/2012,P4,Mark,"£5,000",Shaun Wallace,"-£1,000","£33,000","£5,000 =",Home +4,4 (team 2),Chaser by 0:12,£0,C,6
07/11/2012,P1,Barrie,"£6,000",Mark Labbett,"£1,000","£25,000","£25,000 /\",Caught -3,,Chaser by 1:16,£0,,6
07/11/2012,P2,Joan,"£2,000",Mark Labbett,£200,"£20,000","£2,000 =",Home +1,9 (solo),Chaser by 1:16,£0,C,6
07/11/2012,P3,Tom,"£5,000",Mark Labbett,"£2,000","£30,000","£5,000 =",Caught -2,,Chaser by 1:16,£0,,6
07/11/2012,P4,Sara-Louise,"£2,000",Mark Labbett,"£1,000","£48,000","£1,000 \/",Caught -1,,Chaser by 1:16,£0,,6
08/11/2012,P1,Phil,"£6,000",Paul Sinha,"£1,000","£20,000","£6,000 =",Caught -3,,Chaser by 0:40,£0,,6
08/11/2012,P2,Terry,"£6,000",Paul Sinha,"£1,000","£30,000","£6,000 =",Caught -3,,Chaser by 0:40,£0,,6
08/11/2012,P3,Emily,"£4,000",Paul Sinha,"£1,000","£35,000","£1,000 \/",Home +4,3 (team 2),Chaser by 0:40,£0,C,6
08/11/2012,P4,Debra,"£2,000",Paul Sinha,"£1,000","£50,000","£1,000 \/",Home +3,10 (team 2),Chaser by 0:40,£0,C,6
09/11/2012,P1,Shell,"£4,000",Shaun Wallace,"£1,000","£20,000","£4,000 =",Caught -2,,Chaser by 0:13,£0,,6
09/11/2012,P2,Jeff,"£4,000",Shaun Wallace,"£1,000","£20,000","£1,000 \/",Home +5,3 (team 3),Chaser by 0:13,£0,C,6
09/11/2012,P3,Ann,"£4,000",Shaun Wallace,"£1,000","£29,000","£1,000 \/",Home +1,1 (team 3),Chaser by 0:13,£0,C,6
09/11/2012,P4,Darren,"£7,000",Shaun Wallace,-£500,"£34,000","£7,000 =",Home +3,11 (team 3),Chaser by 0:13,£0,C,6
12/11/2012,P1,Marina,"£8,000",Mark Labbett,"£2,000","£30,000","£30,000 /\",Home +2,9 (team 2),Chaser by 1:01,£0,C,6
12/11/2012,P2,David,"£5,000",Mark Labbett,"-£2,000","£25,000","£5,000 =",Caught -1,,Chaser by 1:01,£0,,6
12/11/2012,P3,Lou,"£4,000",Mark Labbett,"-£3,000","£25,000","£4,000 =",Home +2,3 (team 2),Chaser by 1:01,£0,C,6
12/11/2012,P4,Chris,"£4,000",Mark Labbett,"-£4,000","£26,000","-£4,000 \/",Caught -4,,Chaser by 1:01,£0,,6
13/11/2012,P1,Helen,"£6,000",Anne Hegerty,"£1,000","£20,000","£6,000 =",Home +4,7 (team 2),Chaser by 0:18,£0,C,6
13/11/2012,P2,Charlie,"£9,000",Anne Hegerty,"£2,000","£35,000","£9,000 =",Home +1,7 (team 2),Chaser by 0:18,£0,C,6
13/11/2012,P3,Vera,"£3,000",Anne Hegerty,"£1,000","£20,000","£3,000 =",Caught -2,,Chaser by 0:18,£0,,6
13/11/2012,P4,Khakan,"£3,000",Anne Hegerty,"-£3,000","£30,000","£3,000 =",Caught -2,,Chaser by 0:18,£0,,6
14/11/2012,P1,Sandra,"£3,000",Shaun Wallace,£500,"£15,000","£3,000 =",Caught -2,,Chaser by 0:07,£0,,6
14/11/2012,P2,Paul,"£8,000",Shaun Wallace,"£2,000","£30,000","£8,000 =",Home +2,13 (team 2),Chaser by 0:07,£0,C,6
14/11/2012,P3,Shing,"£7,000",Shaun Wallace,"£1,000","£30,000","£7,000 =",Home +4,4 (team 2),Chaser by 0:07,£0,C,6
14/11/2012,P4,Claire,"£6,000",Shaun Wallace,"-£3,000","£30,000","£6,000 =",Caught -5,,Chaser by 0:07,£0,,6
15/11/2012,P1,Gordon,"£7,000",Mark Labbett,"£2,000","£30,000","£7,000 =",Home +3,1 (team 3),Team by 3,"£7,000",T,6
15/11/2012,P2,Caroline,"£7,000",Mark Labbett,"£2,000","£35,000","£7,000 =",Home +3,6 (team 3),Team by 3,"£7,000",T,6
15/11/2012,P3,Katy,"£3,000",Mark Labbett,"-£2,000","£40,000","£40,000 /\",Caught -5,,Team by 3,£0,,6
15/11/2012,P4,Steve,"£7,000",Mark Labbett,"-£2,000","£46,000","£7,000 =",Home +2,11 (team 3),Team by 3,"£7,000",T,6
16/11/2012,P1,Wayne,"£4,000",Paul Sinha,"£1,000","£20,000","£20,000 /\",Home +2,13 (solo),Chaser by 0:19,£0,C,6
16/11/2012,P2,Andrew,"£8,000",Paul Sinha,"£2,000","£30,000","£30,000 /\",Caught -6,,Chaser by 0:19,£0,,6
16/11/2012,P3,Lynette,"£5,000",Paul Sinha,"-£2,000","£25,000","£5,000 =",Caught -5,,Chaser by 0:19,£0,,6
16/11/2012,P4,Lucy,"£4,000",Paul Sinha,"-£1,000","£30,000","£4,000 =",Caught -5,,Chaser by 0:19,£0,,6
19/11/2012,P1,Joe,"£6,000",Anne Hegerty,"£1,000","£20,000","£6,000 =",Home +2,6 (team 3),Chaser by 0:36,£0,C,6
19/11/2012,P2,Viv,"£4,000",Anne Hegerty,"£1,000","£20,000","£4,000 =",Caught -2,,Chaser by 0:36,£0,,6
19/11/2012,P3,Donna,"£5,000",Anne Hegerty,"£2,000","£25,000","£5,000 =",Home +3,4 (team 3),Chaser by 0:36,£0,C,6
19/11/2012,P4,Mitch,"£4,000",Anne Hegerty,"-£2,000","£34,000","£34,000 /\",Home +2,5 (team 3),Chaser by 0:36,£0,C,6
20/11/2012,P1,Gerard,"£7,000",Mark Labbett,"£2,000","£30,000","£7,000 =",Home +3,9 (team 3),Team by 2,"£4,000",T,6
20/11/2012,P2,Ann,"£5,000",Mark Labbett,"£1,000","£20,000","£5,000 =",Home +3,6 (team 3),Team by 2,"£4,000",T,6
20/11/2012,P3,Donna,"£3,000",Mark Labbett,"-£1,000","£28,000","£3,000 =",Caught -3,,Team by 2,£0,,6
20/11/2012,P4,Sian,"£2,000",Mark Labbett,£1,"£48,000",£1 \/,Home +3,1 (team 3),Team by 2,"£4,000",T,6
21/11/2012,P1,Richard,"£6,000",Paul Sinha,"£1,000","£20,000","£6,000 =",Home +4,10 (team 2),Chaser by 0:19,£0,C,6
21/11/2012,P2,David,"£6,000",Paul Sinha,"£1,000","£25,000","£6,000 =",Caught -3,,Chaser by 0:19,£0,,6
21/11/2012,P3,Natalie,"£1,000",Paul Sinha,£25,"£25,000","£1,000 =",Home +1,4 (team 2),Chaser by 0:19,£0,C,6
21/11/2012,P4,Carol,"£6,000",Paul Sinha,"-£1,000","£38,000","£6,000 =",Caught -1,,Chaser by 0:19,£0,,6
22/11/2012,P1,Peter,"£9,000",Shaun Wallace,"£2,000","£30,000","£9,000 =",Caught -1,,Team by 5,£0,,6
22/11/2012,P2,Iain,"£7,000",Shaun Wallace,"£1,000","£30,000","£7,000 =",Home +2,13 (team 2),Team by 5,"£5,000",T,6
22/11/2012,P3,Robyn,"£4,000",Shaun Wallace,£400,"£40,000","£40,000 /\",Caught -5,,Team by 5,£0,,6
22/11/2012,P4,Linda,"£3,000",Shaun Wallace,"-£1,000","£53,000","£3,000 =",Home +1,5 (team 2),Team by 5,"£5,000",T,6
23/11/2012,P1,Craig,"£1,000",Mark Labbett,£1,"£5,000","£1,000 =",Caught -4,,Chaser by 1:14,£0,C,6
23/11/2012,P2,Charles,"£8,000",Mark Labbett,"£2,000","£30,000","£8,000 =",Caught -2,8 (solo ✝),Chaser by 1:14,£0,C,6
23/11/2012,P3,Sarah,"£4,000",Mark Labbett,"£1,000","£20,000","£4,000 =",Caught -4,,Chaser by 1:14,£0,C,6
23/11/2012,P4,Lisa,"£4,000",Mark Labbett,"£1,000","£25,000","£4,000 =",Caught -5,,Chaser by 1:14,£0,C,6
26/11/2012,P1,Suzanne,"£4,000",Paul Sinha,"£1,000","£16,000","£4,000 =",Home +3,0 (team 3),Chaser by 0:23,£0,C,6
26/11/2012,P2,Alex,"£5,000",Paul Sinha,"£1,000","£25,000","£25,000 /\",Home +3,12 (team 3),Chaser by 0:23,£0,C,6
26/11/2012,P3,James,"£7,000",Paul Sinha,"-£1,000","£30,000","£7,000 =",Caught -4,,Chaser by 0:23,£0,,6
26/11/2012,P4,Myra,"£3,000",Paul Sinha,"-£2,000","£21,000","£3,000 =",Home +3,1 (team 3),Chaser by 0:23,£0,C,6
27/11/2012,P1,Lewis,"£6,000",Anne Hegerty,"£2,000","£24,000","£6,000 =",Caught -1,,Chaser by 0:45,£0,,6
27/11/2012,P2,Sue,"£5,000",Anne Hegerty,"£2,000","£30,000","£5,000 =",Home +2,3 (team 2),Chaser by 0:45,£0,C,6
27/11/2012,P3,Stuart,"£2,000",Anne Hegerty,£0,"£25,000","£2,000 =",Caught -2,,Chaser by 0:45,£0,,6
27/11/2012,P4,Dawn,"£7,000",Anne Hegerty,"£1,000","£55,000","£7,000 =",Home +2,13 (team 2),Chaser by 0:45,£0,C,6
28/11/2012,P1,Neil,"£7,000",Shaun Wallace,"£1,000","£21,000","£7,000 =",Home +1,3 (team 2),Chaser by 0:45,£0,C,6
28/11/2012,P2,Nick,"£6,000",Shaun Wallace,"£1,000","£25,000","£6,000 =",Home +1,10 (team 2),Chaser by 0:45,£0,C,6
28/11/2012,P3,Gill,"£5,000",Shaun Wallace,"£1,000","£35,000","£5,000 =",Caught -1,,Chaser by 0:45,£0,,6
28/11/2012,P4,Lou,"£4,000",Shaun Wallace,"-£1,000","£37,000","£4,000 =",Caught -3,,Chaser by 0:45,£0,,6
29/11/2012,P1,Aidan,"£5,000",Anne Hegerty,"£1,000","£20,000","£5,000 =",Home +2,6 (team 3),Team by 3,"£4,667",T,6
29/11/2012,P2,Jono,"£4,000",Anne Hegerty,£400,"£30,000","£4,000 =",Home +3,10 (team 3),Team by 3,"£4,667",T,6
29/11/2012,P3,Megan,"£5,000",Anne Hegerty,"-£1,000","£40,000","£5,000 =",Home +2,0 (team 3),Team by 3,"£4,667",T,6
29/11/2012,P4,Mary,"£4,000",Anne Hegerty,"-£2,000","£46,000","£4,000 =",Caught -3,,Team by 3,£0,,6
30/11/2012,P1,Dave,"£7,000",Mark Labbett,"£2,000","£25,000","£7,000 =",Caught -1,,Chaser by 1:33,£0,,6
30/11/2012,P2,Sandra,"£4,000",Mark Labbett,"£1,000","£30,000","£4,000 =",Caught -5,,Chaser by 1:33,£0,,6
30/11/2012,P3,Charlie,"£6,000",Mark Labbett,£25,"£40,000","£6,000 =",Home +3,6 (solo),Chaser by 1:33,£0,C,6
30/11/2012,P4,Jo,"£7,000",Mark Labbett,"£2,000","£54,000","£7,000 =",Caught -5,,Chaser by 1:33,£0,,6
03/12/2012,P1,Beverley,"£6,000",Shaun Wallace,"£1,000","£22,000","£6,000 =",Caught -2,,Chaser by 0:12,£0,,6
03/12/2012,P2,David,"£3,000",Shaun Wallace,£300,"£20,000","£20,000 /\",Caught -3,,Chaser by 0:12,£0,,6
03/12/2012,P3,Adelle,"£1,000",Shaun Wallace,£100,"£30,000","£1,000 =",Caught -2,,Chaser by 0:12,£0,,6
03/12/2012,P4,Brenda,"£5,000",Shaun Wallace,"£1,000","£35,000","£35,000 /\",Home +3,17 (solo),Chaser by 0:12,£0,C,6
04/12/2012,P1,Malcolm,"£5,000",Anne Hegerty,"£1,000","£20,000","£5,000 =",Home +1,11 (solo),Chaser by 1:05,£0,C,6
04/12/2012,P2,Joanne,"£5,000",Anne Hegerty,"£1,000","£20,000","£5,000 =",Caught -2,,Chaser by 1:05,£0,,6
04/12/2012,P3,Chris,"£3,000",Anne Hegerty,£747,"£25,000","£25,000 /\",Caught -5,,Chaser by 1:05,£0,,6
04/12/2012,P4,Andrena,"£1,000",Anne Hegerty,£500,"£35,000",£500 \/,Caught -3,,Chaser by 1:05,£0,,6
05/12/2012,P1,Tina,"£6,000",Paul Sinha,"£2,000","£20,000","£6,000 =",Home +2,2 (team 4),Team by 1,"£5,750",T,6
05/12/2012,P2,Paul,"£8,000",Paul Sinha,"£2,000","£30,000","£8,000 =",Home +2,7 (team 4),Team by 1,"£5,750",T,6
05/12/2012,P3,Laura,"£2,000",Paul Sinha,"-£2,000","£30,000","£2,000 =",Home +2,0 (team 4),Team by 1,"£5,750",T,6
05/12/2012,P4,Brian,"£7,000",Paul Sinha,"-£4,000","£32,000","£7,000 =",Home +2,7 (team 4),Team by 1,"£5,750",T,6
06/12/2012,P1,Mark,"£2,000",Mark Labbett,£200,"£15,000","£15,000 /\",Caught -6,,Chaser by 0:01,£0,,6
06/12/2012,P2,Elaine,"£6,000",Mark Labbett,"£2,000","£30,000","£6,000 =",Home +3,15 (team 2),Chaser by 0:01,£0,C,6
06/12/2012,P3,Kate,"£5,000",Mark Labbett,"-£1,000","£35,000","£5,000 =",Caught -4,,Chaser by 0:01,£0,,6
06/12/2012,P4,Ryan,"£2,000",Mark Labbett,£200,"£44,000",£200 \/,Home +1,5 (team 2),Chaser by 0:01,£0,C,6
07/12/2012,P1,Mike,"£5,000",Anne Hegerty,"£1,000","£20,000","£5,000 =",Home +4,9 (team 2),Chaser by 0:22,£0,C,6
07/12/2012,P2,Annette,"£5,000",Anne Hegerty,"£1,000","£25,000","£5,000 =",Caught -4,,Chaser by 0:22,£0,,6
07/12/2012,P3,Deborah,"£6,000",Anne Hegerty,"£1,000","£35,000","£1,000 \/",Home +3,5 (team 2),Chaser by 0:22,£0,C,6
07/12/2012,P4,Roy,"£1,000",Anne Hegerty,"-£2,000","£39,000","£39,000 /\",Caught -2,,Chaser by 0:22,£0,,6
10/12/2012,P1,Robin,"£6,000",Shaun Wallace,£0,"£40,000","£40,000 /\",Home +4,8 (team 3),Chaser by 0:26,£0,C,6
10/12/2012,P2,Kate,"£4,000",Shaun Wallace,"-£4,000","£40,000","£4,000 =",Home +2,7 (team 3),Chaser by 0:26,£0,C,6
10/12/2012,P3,Neil,"£3,000",Shaun Wallace,"-£10,000","£60,000","£3,000 =",Home +4,0 (team 3),Chaser by 0:26,£0,C,6
10/12/2012,P4,Sue,"£3,000",Shaun Wallace,"-£7,000","£53,000","-£7,000 \/",Caught -2,,Chaser by 0:26,£0,,6
11/12/2012,P1,Carol,"£4,000",Mark Labbett,"£1,000","£16,000","£4,000 =",Home +1,2 (team 4),Team by 8,"£5,500",T,6
11/12/2012,P2,Ian,"£6,000",Mark Labbett,"£1,000","£30,000","£6,000 =",Home +3,4 (team 4),Team by 8,"£5,500",T,6
11/12/2012,P3,James,"£7,000",Mark Labbett,"£2,000","£40,000","£7,000 =",Home +2,9 (team 4),Team by 8,"£5,500",T,6
11/12/2012,P4,Nicki,"£5,000",Mark Labbett,"-£2,000","£43,000","£5,000 =",Home +1,4 (team 4),Team by 8,"£5,500",T,6
12/12/2012,P1,Paul,"£8,000",Paul Sinha,"£2,000","£25,000","£8,000 =",Caught -5,,Chaser by 0:55,£0,,6
