Date,Episode,Team,Chaser,NPlayersFinal,PrizeFund,Target,Series,isCelebrity,ChaserWin,ChaserWinBy,ChaserLoseBy
03/06/2010,9.0,"Margaret, Dave, Lisa, Phenton",Mark Labbett,2,5200.0,14,2,False,True,33,0
04/06/2010,10.0,"Wendy, Karen, Campbell, Bill",Anne Hegerty,4,18400.0,21,2,False,False,0,4
07/06/2010,11.0,"Susan, Trevor, Dave, Ailsa",Shaun Wallace,3,22000.0,14,2,False,True,30,0
08/06/2010,12.0,"Andrew, Christine, David, Emma",Mark Labbett,2,22000.0,26,2,False,True,3,0
09/06/2010,13.0,"Dean, Diarmid, Hazel, Alex",Anne Hegerty,1,5000.0,8,2,False,True,87,0
10/06/2010,14.0,"Caroline, Anthony, Alison, Jon",Mark Labbett,3,22000.0,22,2,False,False,0,1
11/06/2010,15.0,"Bernie, Frances-Anne, Shaun, Ali",Mark Labbett,1,4000.0,15,2,False,True,56,0
14/06/2010,16.0,"Jill, Asha, Paul, Matt",Shaun Wallace,1,7000.0,16,2,False,True,37,0
15/06/2010,17.0,"Paul, Liz, Rupert, Morris",Mark Labbett,2,14000.0,23,2,False,True,9,0
16/06/2010,18.0,"Lyn, Peter, Sarah, James",Anne Hegerty,1,24000.0,18,2,False,True,38,0
17/06/2010,19.0,"Steve, Kate, Neil, Angela",Mark Labbett,2,16000.0,28,2,False,False,0,1
18/06/2010,20.0,"Jennifer, Doug, Gaetana, Gwilym",Shaun Wallace,3,38000.0,14,2,False,True,41,0
21/06/2010,21.0,"Aaron, Vicki, Cyril, Ross",Anne Hegerty,3,16000.0,18,2,False,True,28,0
22/06/2010,22.0,"Jo, Pat, Jane, Alan",Mark Labbett,3,24000.0,24,2,False,False,0,1
23/06/2010,23.0,"Martin, Rosie, Sarah, Rob",Shaun Wallace,1,7000.0,21,2,False,True,0,0
24/06/2010,24.0,"John, Adam, Cathy, Julie",Anne Hegerty,3,34000.0,24,2,False,False,0,1
25/06/2010,25.0,"Geoff, Danni, Jane, John",Shaun Wallace,4,20000.0,23,2,False,True,22,0
28/06/2010,26.0,"Trudy, Philip, Angela, Carl",Shaun Wallace,2,15000.0,24,2,False,False,0,2
30/06/2010,28.0,"Wanda, Hemal, Neil, Martin",Mark Labbett,3,7000.0,21,2,False,False,0,3
01/07/2010,29.0,"Lisa, Dan, Phil, Mark",Shaun Wallace,2,8800.0,18,2,False,True,41,0
02/07/2010,30.0,"Pete, Louise, Andrew, Caroline",Mark Labbett,1,5000.0,15,2,False,True,56,0
05/07/2010,31.0,"Matthew, Elaine, John, Stuart",Anne Hegerty,3,12000.0,18,2,False,True,12,0
06/07/2010,32.0,"Paul, Illy, Chloe, David",Mark Labbett,1,40000.0,16,2,False,True,55,0
07/07/2010,27.0,"Ross, Elaine, Simon, Pat",Anne Hegerty,3,31100.0,16,2,False,True,29,0
08/07/2010,34.0,"Katie, Geoff, Johnny, Stephen",Shaun Wallace,3,24000.0,20,2,False,True,23,0
09/07/2010,35.0,"Andrew, Silvia, Martin, Paul",Anne Hegerty,2,40000.0,24,2,False,False,0,5
12/07/2010,36.0,"Steve, Mark, Sue, Emma",Shaun Wallace,3,20000.0,22,2,False,True,8,0
13/07/2010,37.0,"Tony, Sandra, Matthew, Tessa",Mark Labbett,2,6000.0,16,2,False,True,44,0
14/07/2010,38.0,"Lisa, Earl, Steph, Dan",Anne Hegerty,3,20000.0,20,2,False,True,15,0
15/07/2010,39.0,"Katy, Nathan, Al, Bev",Shaun Wallace,4,17500.0,21,2,False,True,12,0
16/07/2010,40.0,"Fraser, Daniel, Carol, Kieran",Mark Labbett,3,21000.0,19,2,False,True,14,0
19/07/2010,33.0,"Leo, Paul, Lydia, Eloise",Anne Hegerty,1,7000.0,12,2,False,True,57,0
03/01/2011,1.0,"Alun, Sharron, Jacky, Martin",Mark Labbett,2,12000.0,20,3,False,True,30,0
04/01/2011,2.0,"Heather, Sarah, Phil, Keith",Anne Hegerty,2,12000.0,21,3,False,True,32,0
05/01/2011,3.0,"Darren, Gina, Matt, Joyce",Shaun Wallace,2,11000.0,23,3,False,True,13,0
06/01/2011,4.0,"Locky, Abby, Jacky, Paul",Mark Labbett,4,19200.0,24,3,False,False,0,1
